,Unnamed: 0,Site,Raw,Spatial,Temporal,Spatial_N,Temporal_N,Improved
10,10,0.3608984151531172,0.4944444444444444,0.5,0.6444444444444445,0.5,0.6555555555555556,0.5592569039709575
11,11,0.9881893964856864,1.613888888888889,1.647222222222222,1.6388888888888888,1.652777777777778,1.6833333333333331,1.6050832758736266
12,12,1.040467954645253,1.75,1.702777777777778,1.886111111111111,1.702777777777778,1.933333333333333,1.76822285602262
13,13,1.0196249210834505,1.8722222222222225,1.8416666666666668,1.8527777777777776,1.847222222222222,1.886111111111111,1.800208398392762
14,14,1.2335147032834062,1.7638888888888888,1.6944444444444442,1.930555555555556,1.702777777777778,1.963888888888889,1.7978750438418696
15,15,2.095134717045408,3.827777777777778,3.9416666666666655,3.475,3.702777777777778,3.5138888888888884,3.4713254790495114
16,16,3.2692623942085866,5.436111111111112,5.719444444444444,5.072222222222222,5.25,4.961111111111111,5.136532221989454
17,17,3.3545170384224017,5.322222222222222,5.194444444444445,4.052777777777778,4.897222222222222,3.977777777777778,4.219497459857561
18,18,1.3686120146512986,0.8194444444444444,0.9055555555555556,0.7722222222222223,0.5111111111111111,0.7805555555555556,0.8004894920014358
19,19,1.5516907477378843,0.9194444444444444,0.9361111111111112,1.2333333333333334,0.5277777777777778,1.2638888888888888,1.13403890274486
20,20,5.237669160366059,5.175,4.955555555555556,3.772222222222222,2.7777777777777777,3.730555555555556,4.130163272373707
21,21,4.935536482334137,4.575,4.469444444444444,3.361111111111112,2.5166666666666666,3.3472222222222223,3.482355432591865
22,22,4.709726037979126,4.775,4.583333333333334,3.3138888888888887,2.591666666666667,3.4166666666666665,3.659618476852649
23,23,4.399181341884112,4.591666666666667,4.333333333333334,3.830555555555556,2.4722222222222223,3.922222222222222,3.9341951673336175
24,24,3.5803917241096497,4.033333333333333,3.977777777777778,2.841666666666667,2.261111111111111,2.986111111111111,3.031090584180748
25,25,2.843093431912936,2.941666666666667,2.816666666666667,2.430555555555556,1.652777777777778,2.547222222222222,2.431886991786788
26,26,2.6492236077785494,1.6277777777777778,1.6416666666666668,1.6388888888888888,0.9388888888888888,1.6916666666666669,1.608888682999175
27,27,1.6940665489435196,0.8416666666666666,0.8472222222222221,0.8444444444444444,0.7666666666666667,0.8527777777777779,0.8371962619333729
28,28,1.6106733500957489,0.8333333333333334,0.8333333333333334,0.825,0.7472222222222222,0.8388888888888889,0.8271726808829921
29,29,1.5689761650562286,0.9333333333333332,0.9416666666666668,0.788888888888889,0.8472222222222221,0.8166666666666667,0.7788354553274802
30,30,1.824135975837708,1.272222222222222,1.2444444444444445,1.136111111111111,1.125,1.1416666666666666,1.119220022233614
31,31,1.7974221486112345,1.172222222222222,1.15,1.363888888888889,1.0444444444444445,1.3666666666666667,1.2843418112140546
32,32,1.760081468820572,1.411111111111111,1.4166666666666663,1.5305555555555554,1.286111111111111,1.538888888888889,1.4280066472940935
33,33,2.275045100450516,1.722222222222222,1.7305555555555556,1.722222222222222,1.5666666666666669,1.722222222222222,1.6966544642748471
34,34,2.3284784117523505,2.341666666666667,2.327777777777778,2.0972222222222223,2.1166666666666667,2.102777777777778,2.106008045019215
35,35,2.7563194322586058,2.341666666666667,2.327777777777778,2.0972222222222223,2.1166666666666667,2.102777777777778,2.106008045019215
36,36,2.8853558599948883,2.2694444444444444,2.236111111111111,2.2583333333333333,2.036111111111111,2.2694444444444444,2.2320844951010086
37,37,2.611933035509927,2.536111111111111,2.4972222222222222,2.225,2.275,2.227777777777778,2.268325887006666
38,38,2.933646093606949,2.6277777777777778,2.6277777777777778,2.1222222222222222,2.386111111111111,2.136111111111111,2.186935284525677
39,39,2.8346222882368126,1.286111111111111,1.3111111111111111,2.4722222222222223,1.2,2.4972222222222222,1.9330902201968232
40,40,3.237760441277617,2.8694444444444445,2.791666666666667,2.102777777777778,2.563888888888889,2.102777777777778,2.1983729522026776
41,41,3.1172450708620474,3.0027777777777778,3.0388888888888888,2.533333333333333,2.772222222222222,2.563888888888889,2.516591576759194
42,42,3.289143315553665,3.0027777777777778,3.0388888888888888,2.533333333333333,2.772222222222222,2.563888888888889,2.516591576759194
